//當代中文/Book 1/L01-I
陈月美[陳月美]	Chén Yuèměi	a woman from Vietnam
不实[不實]	bùshí	(Vs-attr) untrue, false
谣言[謠言]	yáoyán	(N) rumor
霸凌[霸凌]	bàlíng	(N/V) bully; to bully
负责[負責]	fùzé	(Vs) to take responsibility for
误解[誤解]	wùjiě	(V) to misunderstand, misconstrue
意义[意義]	yìyì	(N) meaning, significance
因此[因此]	yīncǐ	(Adv) because of this, for this reason
否定[否定]	fǒudìng	(V) to negate
价值[價值]	jiàzhí	(N) value
封住[封住]	fēngzhù	(V) to seal, block
嘴[嘴]	zuǐ	(N) mouth, opinion
混乱[混亂]	hùnluàn	(Vs) tumultuous, chaotic
唯一[唯一]	wéiyī	(Vs-attr) one and only, sole
//當代中文/Book 5/L01-II
滥用[濫用]	lànyòng	(V) to abuse
并非[並非]	bìngfēi	(Adv) it is not as expected
不用[不用]	búyòng	(Vaux) (there is) no need to
抓[抓]	zhuā	(V) to arrest
关[關]	guān	(V) to lock up, imprison
名嘴[名嘴]	míngzuǐ	(N) TV presenters, talk show hosts or guests, talking heads
根据[根據]	gēnjù	(N) basis, foundation
随意[隨意]	suíyì	(Adv) arbitrarily, as one pleases
乡民[鄉民]	xiāngmín	(N) netizens, general public
匿名[匿名]	nìmíng	(Vi) to be anonymous, anonymously
正义[正義]	zhèngyì	(N) justice
恶意[惡意]	èyì	(Adv/N) maliciously, viciously; ill intention
情绪[情緒]	qíngxù	(N) emotions, feelings
成[成]	chéng	(Vpt) to become
护身符[護身符]	hùshēnfú	(N) amulet, charm, protective talisman
传播[傳播]	chuánbò	(V) to disseminate, spread
惊人[驚人]	jīngrén	(Vs) shocking, alarming, awing
股[股]	gǔ	(M) measure for wind, trending or power
有心[有心]	yǒuxīn	(Vs) intentional
无意[無意]	wúyì	(Vs) unintentional, inadvertent
威胁[威脅]	wēixié	(N/V) threat, to threaten
讽刺[諷刺]	fèngcì	(V) to mock, to be sarcastic
得[得]	dé	(Vpt) to come down with, be stricken with, get
忧郁症[憂鬱症]	yōuyùzhèng	(N) depression
则[則]	zé	(Adv) to express contrast with previous sentence
闭嘴[閉嘴]	bìzuǐ	(V-sep) to shut one's mouth, keep one's mouth shut
回应[回應]	huíyìng	(V/N) to respond, response
伤害[傷害]	shānghài	(V/N) to harm, damage; damage
破坏[破壞]	pòhuài	(V) to damage, cause damage to
管[管]	guǎn	(V) to mind, watch (one's behavior, etc.)
聪明[聰明]	cōngmíng	(Vs) smart, intelligent
标题[標題]	biāotí	(N) headline
怀疑[懷疑]	huáiyí	(Vst) suspect
模糊[模糊]	móhú	(Vs) ambiguous, vague
擅长[擅長]	shàncháng	(Vst) be good at, excel at
灰色[灰色]	huīsè	(N) gray
地带[地帶]	dìdài	(N) zone, area
法院[法院]	fǎyuàn	(N) court
确定[確定]	quèdìng	(V) to determine, ascertain
个人[個人]	gèrén	(N) the individual
承担[承擔]	chéngdān	(V) to take up (responsibility)
和谐[和諧]	héxié	(Vs) harmonious
制定[制定]	zhìdìng	(V) to formulate, devise (laws)
严格[嚴格]	yángé	(Vs) strict, severe
约束[約束]	yuēshù	(V) to restrict, constrain
//當代中文/Book 5/L02-I
基改[基改]	jīgǎi	(N) 基 = 基因, 改 = 改造 (see Book 3)
农粮[農糧]	nóngliáng	(N) 農 = 農作物, crop; 糧 = 糧食, food
广播节目[廣播節目]	guǎngbò jiémù	(Ph) broadcast program
主持人[主持人]	zhǔchírén	(N) host, MC
听众[聽眾]	tīngzhòng	(N) listening audience, listeners
播[播]	bò	(V) to broadcast
虫子[蟲子]	chóngzi	(N) insect, bug
隔壁[隔壁]	gébì	(N) next door
回答[回答]	huídá	(V) to answer
死[死]	sǐ	(Vp) to die
话题[話題]	huàtí	(N) topic
危害[危害]	wéihài	(V) to harm, be detrimental to, endanger
赞成[贊成]	zànchéng	(Vst) to approve, in favor
各式各样[各式各樣]	gèshì gèyàng	(Id) all types of, various kinds of
只不过[只不過]	zhǐbúguò	(Ph) only, no more than
种子[種子]	zhǒngzǐ	(N) seed
比如说[比如說]	bǐrú shuō	(Ph) for example
维他命[維他命]	wéitāmìng	(N) vitamin
蔬果[蔬果]	shūguǒ	(N) fruits and vegetables
抗癌[抗癌]	kàng'ái	(Vs) anti-cancerous
过敏[過敏]	guòmǐn	(Vs) allergic
花生[花生]	huāshēng	(N) peanut
科学家[科學家]	kēxuéjiā	(N) scientist
丰富[豐富]	fēngfù	(Vs) rich (abundant in something)
享用[享用]	xiǎngyòng	(V) to enjoy the use of, enjoy (a meal)
达到[達到]	dádào	(Vpt) to reach, obtain
预防[預防]	yùfáng	(Vst) to prevent, guard against
疾病[疾病]	jíbìng	(N) illness, sickness
效果[效果]	xiàoguǒ	(N) effect, results
好几（种）[好幾（種）]	hǎojǐ zhǒng	(Ph) a number of, quite a few kinds of
警告[警告]	jǐnggào	(V/N) to warn, warning
突破[突破]	túpò	(Vpt) to make a breakthrough, top, break (a record, number)
粮食[糧食]	liángshí	(N) food, foodstuff
早晚[早晚]	zǎowǎn	(Adv) sooner or later
不仅[不僅]	bùjǐn	(Adv) not only
农作物[農作物]	nóngzuòwù	(N) crop, produce
抵抗力[抵抗力]	dǐkàng lì	(N) resistance, immunity
虫害[蟲害]	chónghài	(N) damage by pests
产量[產量]	chǎnliàng	(N) output, yield, production
饥荒[飢荒]	jīhuāng	(N) famine
含有[含有]	hányǒu	(Vst) to contain, have
大豆[大豆]	dàdòu	(N) soybean, soya
玉米[玉米]	yùmǐ	(N) corn
密不可分[密不可分]	mìbù kěfēn	(Id) inseparable, integrated with
生产[生產]	shēngchǎn	(V) to produce, manufacture
缺少[缺少]	quēshǎo	(Vst) to be in shortage of
依赖[依賴]	yīlài	(Vst) to rely on, depend on
进口[進口]	jìnkǒu	(V) to import
危机[危機]	wéijī	(N) crisis
生物科技[生物科技]	shēngwù kējì	(Ph) bio-tech
机构[機構]	jīgòu	(N) organization, depts. of gov't
证据[證據]	zhèngjù	(N) proof, evidence
证明[證明]	zhèngmíng	(V/N) to prove; proof
人体[人體]	réntǐ	(N) the human body
结论[結論]	jiélùn	(N) conclusion
生长[生長]	shēngzhǎng	(Vi) to grow
除草剂[除草劑]	chúcǎojì	(N) weed killer, herbicide
物质[物質]	wùzhí	(N) matter, substance
怪物[怪物]	guàiwù	(N) monster
原料[原料]	yuánliào	(N) raw materials
包装[包裝]	bāozhuāng	(N) packaging
标示[標示]	biāoshì	(V/N) to label; mark
一切[一切]	yíqiè	(Det) all
//當代中文/Book 5/L02-II
昆虫[昆蟲]	kūnchóng	(N) insect
不孕[不孕]	búyùn	(Vs) infertile, barren
罹患[罹患]	líhuàn	(Vpt) to come down with, be stricken with, suffer from
癌症[癌症]	áizhèng	(N) cancer
苹果[蘋果]	píngguǒ	(N) apple
鲑鱼[鮭魚]	guīyú	(N) salmon
不知不觉[不知不覺]	bùzhī bùjué	(Id) without even realizing it, before you even know it, without one even noticing
辨别[辨別]	biànbié	(V) to distinguish, tell apart
安心[安心]	ānxīn	(Vs) to have peace of mind, set one's mind at rest
杂志[雜誌]	zázhì	(N) magazine, journal
编辑[編輯]	biānjí	(V) to edit
后果[後果]	hòuguǒ	(N) consequence, result
杂草[雜草]	zácǎo	(N) weed
某[某]	mǒu	(Det) certain, some
专利[專利]	zhuānlì	(N) patent
农民[農民]	nóngmín	(N) farmer
收购[收購]	shōugòu	(V) to acquire, buy out
居高不下[居高不下]	jūgāo búxià	(Id) remain high, won't come down
绝对[絕對]	juéduì	(Adv) absolutely, in no way
符合[符合]	fúhé	(Vst) to meet with, conform with
非[非]	fēi	(Vst) not (classical Chinese)
事实[事實]	shìshí	(N) fact, truth
种植[種植]	zhòngzhí	(V) to plant, cultivate
总用量[總用量]	zǒng yòngliàng	(Ph) total dosage
公斤[公斤]	gōngjīn	(N) kilogram
即便[即便]	jíbiàn	(Conj) even if, despite
兼[兼]	jiān	(Adv) concurrently, simultaneously
欺骗[欺騙]	qīpiàn	(V) to deceive, scam, cheat
国人[國人]	guórén	(N) (our) fellow countrymen
立法[立法]	lìfǎ	(V-sep) to make a law
以[以]	yǐ	(Adv) so as to, such that
维护[維護]	wéihù	(V) to safeguard, protect
神奇[神奇]	shénqí	(Vs) magical, miraculous
手段[手段]	shǒuduàn	(N) means, measure
付出[付出]	fùchū	(V) to pay (a heavy price for)
代价[代價]	dàijià	(N) (to pay a heavy) price
掌握[掌握]	zhǎngwò	(V) to hold, grasp, control
//當代中文/Book 5/L03-I
风气[風氣]	fēngqì	(N) ethos, mood (said of society, a nation, etc.)
开放[開放]	kāifàng	(N) (nominalized from its verb form) to open up to the outside world; liberal, non-conservative
意外[意外]	yìwài	(N) accident
存在[存在]	cúnzài	(Vs) to exist
内在[內在]	nèizài	(N) internal quality
特质[特質]	tèzhí	(N) characteristic, quality
胜[勝]	shèng	(Vst) be superior to, to win (classical Chinese)
丑[醜]	chǒu	(Vs) ugly
颜值[顏值]	yánzhí	(N) "face value" (play on words)
他人[他人]	tārén	(N) other people, others
不尽然[不盡然]	bújìnrán	(Vs) not necessarily so
要求[要求]	yāoqiú	(V) to request, demand
整出[整出]	zhěngchū	(V) to produce (through plastic surgery)
鼻子[鼻子]	bízi	(N) nose
皮肤[皮膚]	pífū	(N) skin
细[細]	xì	(Vs) thin, slender
腰[腰]	yāo	(N) waist, small of the back
丰胸[豐胸]	fēngxiōng	(N) large breasts
高挺[高挺]	gāotǐng	(Vs) to be high-bridged (said of noses)
水汪汪[水汪汪]	shuǐwāngwāng	(Vs) to be "doe-eyed"
参赛[參賽]	cānsài	(Vi) to take part in a competition
眼光[眼光]	yǎnguāng	(N) judgement, how others look at you
矛盾[矛盾]	máodùn	(Vs) contradictory
外貌[外貌]	wàimào	(N) looks, appearance, exterior
美满[美滿]	měimǎn	(Vs) happy, fulfilled (said of families, lives, marriages, etc.)
职涯[職涯]	zhíyá	(N) career
以貌取人[以貌取人]	yǐmào qǔrén	(Id) judge a book by its cover; judge by appearance (said of people)
不计一切[不計一切]	bújì yíqiè	(Id) do whatever it takes
英俊[英俊]	yīngjùn	(Vs) handsome
获得[獲得]	huòdé	(Vpt) to obtain, attain
青睐[青睞]	qīnglài	(N) special attention and favor
对象[對象]	duìxiàng	(N) significant other, boyfriend/girlfriend, object of love
智力[智力]	zhìlì	(N) intelligence
同样[同樣]	tóngyàng	(Vs) in the same way; similar
团队[團隊]	tuánduì	(N) team
金钱[金錢]	jīnqián	(N) money
投资[投資]	tóuzī	(V/N) to invest; investment
行为[行為]	xíngwéi	(N) behavior
尽管[儘管]	jǐnguǎn	(Conj) even though, although
日渐[日漸]	rìjiàn	(Adv) with each day, with each passing day, gradually
失败[失敗]	shībài	(Vp) to fail
胸部[胸部]	xiōngbù	(N) breast, chest
大小不一[大小不一]	dàxiǎo bùyī	(Id) in different sizes, of various sizes
变形[變形]	biànxíng	(Vp) to be deformed
失血[失血]	shīxiě	(Vp-sep) to lose blood
过[過]	guò	(Adv) excessively
饱受[飽受]	bǎoshòu	(Vpt) to suffer greatly from
后遗症[後遺症]	hòuyízhèng	(N) after-effects, sequela
副作用[副作用]	fùzuòyòng	(N) side-effects
多么[多麼]	duōme	(Adv) how
冒险[冒險]	màoxiǎn	(V-sep) to risk, take risk, adventure
如今[如今]	rújīn	(Adv) nowadays, today
捷径[捷徑]	jiéjìng	(N) shortcut
进而[進而]	jìn'ér	(Adv) furthermore
谨慎[謹慎]	jǐnshèn	(Vs) careful, cautious
看待[看待]	kàndài	(V) to regard
//當代中文/Book 5/L03-II
吹[吹]	chuī	(V) to blow (used in the text to mean a trend has been "circulating" or "stirring")
旅游[旅遊]	lǚyóu	(N) tour, trip
极具[極具]	jíjù	(Vst) to strongly possess (classical Chinese)
潜力[潛力]	qiánlì	(N) potential
理由[理由]	lǐyóu	(N) reason
天性[天性]	tiānxìng	(N) nature, instinct
列入[列入]	lièrù	(V) to include, take into
考量[考量]	kǎoliáng	(N) consideration
公关[公關]	gōngguān	(N) public relations
时尚[時尚]	shíshàng	(N) fashion, trend
产业[產業]	chǎnyè	(N) industry
眼皮[眼皮]	yǎnpí	(N) eyelid
精神奕奕[精神奕奕]	jīngshén yìyì	(Id) full of vigor/life/vitality
违反[違反]	wéifǎn	(V) to violate, go against
假[假]	jiǎ	(Vs) false, fake, bogus
造假[造假]	zàojiǎ	(Vi) to cheat, deceive
标签[標籤]	biāoqiān	(N) label
优势[優勢]	yōushì	(N) advantage
理解[理解]	lǐjiě	(Vst) to understand
生来[生來]	shēnglái	(Ph) from birth (= 出生以來)
差异[差異]	chāyì	(N) difference
天生[天生]	tiānshēng	(Adv) inherently
后天[後天]	hòutiān	(N) in later stages of development
长相[長相]	zhǎngxiàng	(N) appearance, looks
平平[平平]	píngpíng	(Vs) plain, average, mediocre
医学[醫學]	yīxué	(N) medical science
缩小[縮小]	suōxiǎo	(V) to shrink, shorten
差距[差距]	chājù	(N) gap, distance between
无疑[無疑]	wúyí	(Adv) undoubtedly
器材[器材]	qìcái	(N) equipment
药品[藥品]	yàopǐn	(N) drug, medicine
大幅[大幅]	dàfú	(Adv) substantially, sharply
事先[事先]	shìxiān	(Adv) beforehand, in advance
评估[評估]	pínggū	(V) to evaluate, assess
患者[患者]	huànzhě	(N) patient
动机[動機]	dòngjī	(N) motivation
状态[狀態]	zhuàngtài	(N) state, situation
执行[執行]	zhíxíng	(V) to carry out, execute
身体发肤受之父母[身體髮膚受之父母]	shēntǐ fǎfū, shòuzhī fùmǔ	(Id) your body, from your hair to your skin, is a gift from your parents (suggests that you have a responsibility to cherish and care for it)
剪[剪]	jiǎn	(V) to cut (with scissors)
理会[理會]	lǐhuì	(V) to pay attention to
有何不可[有何不可]	yǒuhé bùkě	(Id) What's wrong with that? and why not? what's the harm in that?
//當代中文/Book 5/L04-I
删减[刪減]	shānjiǎn	(V) to cut, cut back on (as in funds, personnel, etc.)
斗牛[鬥牛]	dòuniú	(N) bullfighting
街头[街頭]	jiētóu	(N) the streets (used in phrases like "take to the streets")
举[舉]	jǔ	(V) to raise, hold up
示威[示威]	shìwēi	(Vi) to demonstrate, rally
主张[主張]	zhǔzhāng	(V/N) to advocate a view or a standard
保存[保存]	bǎocún	(V) to preserve
废止[廢止]	fèizhǐ	(V) to abolish
引发[引發]	yǐnfā	(Vst) to set off, trigger
正反[正反]	zhèngfǎn	(N) protesters and supporters, pros and cons
两方[兩方]	liǎngfāng	(N) both parties, the two sides
激烈[激烈]	jīliè	(Vs) intense, fierce
具有[具有]	jùyǒu	(Vst) to have, possess
祭品[祭品]	jìpǐn	(N) offering to god(s), sacrificial items
全民[全民]	quánmín	(N) all the people
座[座]	zuò	(M) measure for large objects like mountains, castles, gigantic temples on hilltops
斗牛场[鬥牛場]	dòuniú chǎng	(N) bullfighting ring
马德里[馬德里]	Mǎdélǐ	(N) Madrid
至今[至今]	zhìjīn	(Adv) to this day, heretofore
斗牛士[鬥牛士]	dòuniú shì	(N) bullfighter
华丽[華麗]	huálì	(Vs) magnificent, resplendent
服饰[服飾]	fúshì	(N) clothing and accessories, apparel, costume
一面[一面]	yímiàn	(Adv) on the one hand, on the other; (do A), while (doing B)
披风[披風]	pīfēng	(N) cape
激怒[激怒]	jīnù	(V) to infuriate, excite
公牛[公牛]	gōngniú	(N) bull
优雅[優雅]	yōuyǎ	(Vs) graceful, elegant
姿势[姿勢]	zīshì	(N) posture, position, poses
结合[結合]	jiéhé	(N/V) union, blend; to combine, unite, blend
过人[過人]	guòrén	(Vs) insurpassable
熟练[熟練]	shóuliàn	(Vs) adept, skillful, proficient
崇拜[崇拜]	chóngbài	(Vst) to worship, adore
旺季[旺季]	wàngjì	(N) peak season
游客[遊客]	yóukè	(N) visitor, tourist
前往[前往]	qiánwǎng	(V) to go to, head to
观赏[觀賞]	guānshǎng	(V) to view, enjoy the view of
奔牛节[奔牛節]	Bēnniújié	(N) The Running of the Bulls (in Pamplona)
重头戏[重頭戲]	zhòngtóuxì	(N) the main event
狂奔[狂奔]	kuángbēn	(Vi) to run madly, run like crazy
欧元[歐元]	Ōuyuán	(N) Euro
必要[必要]	bìyào	(N) need
独特[獨特]	dútè	(Vs) unique
魅力[魅力]	mèilì	(N) charisma
戏剧[戲劇]	xìjù	(N) drama, play
无数[無數]	wúshù	(Vs-attr) countless
灵感[靈感]	línggǎn	(N) inspiration
诺贝尔[諾貝爾]	Nuòbèi'ěr	(N) Nobel
得主[得主]	dézhǔ	(N) winner
作家[作家]	zuòjiā	(N) writer, author
海明威[海明威]	Hǎimíngwēi	(N) Ernest Hemmingway
观看[觀看]	guānkàn	(V) to watch
小说[小說]	xiǎoshuō	(N) novel
举世闻名[舉世聞名]	jǔshì wénmíng	(Id) world-famous
推广[推廣]	tuīguǎng	(V) to promote
遗产[遺產]	yíchǎn	(N) heritage
由来已久[由來已久]	yóulái yǐjiǔ	(Id) age-old
//當代中文/Book 5/L04-II
过时[過時]	guòshí	(Vs) passé, obsolete
不利[不利]	búlì	(Vs) disadvantageous to, detrimental to
刺[刺]	cì	(V) to stab, gore
观众[觀眾]	guānzhòng	(N) viewing audience
转播[轉播]	zhuǎnbò	(V/N) to rebroadcast, transmission, relay
幕[幕]	mù	(M) measure for scenes
血淋淋[血淋淋]	xiělínlín	(Vs) bloody, gory
画面[畫面]	huàmiàn	(N) scene, graphics
头[頭]	tóu	(M) measure for cattle (i.e., a head of cattle)
死亡[死亡]	sǐwáng	(Vp) to die
折磨[折磨]	zhémó	(N/V) torment; to torture
赔上[賠上]	péishàng	(V) to pay as compensation
俗话[俗話]	súhuà	(N) saying
道理[道理]	dàolǐ	(N) principle, truth, reason
自私[自私]	zìsī	(Vs) selfish
虐待[虐待]	nüèdài	(V) to abuse, maltreat
开设[開設]	kāishè	(V) to start, open up (a course)
课程[課程]	kèchéng	(N) course
教导[教導]	jiàodǎo	(V/N) to teach; instruction
享有[享有]	xiǎngyǒu	(Vst) to enjoy (a privilege)
不人道[不人道]	bùréndào	(Vs) inhumane
无辜[無辜]	wúgū	(Vs) innocent
宝贵[寶貴]	bǎoguì	(Vs) precious
提升[提升]	tíshēng	(V) to elevate, raise (as in awareness)
社群[社群]	shèqún	(N) social group, community (as in social network, social media)
残忍[殘忍]	cánrěn	(Vs) to be cruel
刊登[刊登]	kāndēng	(V) (for a media) to carry (a photo, article), publish
高喊[高喊]	gāohǎn	(V) to shout, scream, cry out
显示[顯示]	xiǎnshì	(V) to show, reveal
高达[高達]	gāodá	(Vst) as high as
仅[僅]	jǐn	(Adv) only
无须[無須]	wúxū	(Vaux) need not
巴塞隆那[巴塞隆納]	Bāsàilóngnà	(N) Barcelona
宣布[宣布]	xuānbù	(V) to announce
娱乐[娛樂]	yúlè	(N) recreation, amusement, entertainment
入场[入場]	rùchǎng	(Vi) to enter (a venue)
澈底[澈底]	chèdǐ	(Adv) completely, thoroughly
//當代中文/Book 5/L05-I
代理孕母[代理孕母]	dàilǐ yùnmǔ	(Ph) surrogate mother
案例[案例]	ànlì	(N) case, instance
名[名]	míng	(M) measure for people (formal)
同志[同志]	tóngzhì	(N) homosexual, gay
心愿[心願]	xīnyuàn	(N) wish, heart's desire
自愿[自願]	zìyuàn	(Vaux) to volunteer, out of one's own wish
对[對]	duì	(M) measure for things or people that come in matching pairs
委托[委託]	wěituō	(V/N) to commission, to charge with; commission
龙凤胎[龍鳳胎]	lóngfèng tāi	(Ph) twins (one boy and one girl)
遗弃[遺棄]	yíqì	(V) to abandon, desert
缺陷[缺陷]	quēxiàn	(N) defect, imperfection
任[任]	rèn	(M) measure for terms (e.g., first term as president)
丈夫[丈夫]	zhàngfū	(N) husband
